ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.731284,,,,,,,,,,,,621c83ef-05be-41c5-b950-6ae26e29da80,11,,"[41.6, 14.0]",3788746,0,,,,0.74247974,,Left Foot,,,,"[50.1, 21.8]",,Ground Pass,,11.536464,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Netherlands,941,['9d9f4e6c-e0fb-4cf6-9049-14938c666983'],6,,,,,,,,,,,,,,Netherlands,941,00:00:06.067,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1cd7d96b-8e01-407d-8725-26ec64d20acd,2076,,"[28.7, 25.2]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Mykola Matviyenko,18617.0,Left Center Back,86,Ukraine,911,['92e4868e-63dc-47e9-a9b0-5567f6c791ee'],6,,,,,,,,,,,,,,Ukraine,911,00:00:06.409,Ball Receipt*,
,,,"[28.3, 29.7]",,,,,,,,,,,,0.740055,,,,,,,,,,,,c86eb600-3f8e-4bc3-893f-9236ebe020c9,2077,,"[28.7, 25.2]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Mykola Matviyenko,18617.0,Left Center Back,86,Ukraine,911,"['1cd7d96b-8e01-407d-8725-26ec64d20acd', 'fbc77479-5122-4223-ad6a-9afefd4f3e5f']",6,,,,,,,,,,,,,,Ukraine,911,00:00:06.409,Carry,
,,,"[48.9, 19.9]",,,,,,,,,,,,2.212576,,,,,,,,,,,,ef958d85-cf78-4be9-b98e-d019d3379c87,13,,"[50.1, 21.8]",3788746,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,"['161fc410-f3d3-414b-a024-6b30e7254441', '9d9f4e6c-e0fb-4cf6-9049-14938c666983']",6,,,,,,,,,,,,,,Netherlands,941,00:00:06.798,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9d9f4e6c-e0fb-4cf6-9049-14938c666983,12,,"[50.1, 21.8]",3788746,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,['621c83ef-05be-41c5-b950-6ae26e29da80'],6,,,,,,,,,,,,,,Netherlands,941,00:00:06.798,Ball Receipt*,
,,,,,,,,,,,,,,,0.993361,,,,,,,,,,,,fbc77479-5122-4223-ad6a-9afefd4f3e5f,2078,,"[28.3, 29.7]",3788746,45,,,,1.7872467,,Left Foot,,,,"[24.1, 48.8]",,Ground Pass,,19.55633,,,,Illia Zabarnyi,39136.0,,,,,,2,From Kick Off,Mykola Matviyenko,18617.0,Left Center Back,86,Ukraine,911,['16b2d957-031b-496d-b529-13ff4ac2d0d3'],7,,,,,,,,,,,,,,Ukraine,911,00:00:07.149,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,16b2d957-031b-496d-b529-13ff4ac2d0d3,2079,,"[24.1, 48.8]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Illia Zabarnyi,39136.0,Right Center Back,86,Ukraine,911,['fbc77479-5122-4223-ad6a-9afefd4f3e5f'],8,,,,,,,,,,,,,,Ukraine,911,00:00:08.143,Ball Receipt*,
,,,"[24.1, 48.8]",,,,,,,,,,,,2.142064,,,,,,,,,,,,fe811dbd-abcd-42c5-92b3-aa4713bc59b4,2080,,"[24.1, 48.8]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Illia Zabarnyi,39136.0,Right Center Back,86,Ukraine,911,"['0540b56f-7581-4728-879c-99e4f4677877', '16b2d957-031b-496d-b529-13ff4ac2d0d3']",8,,,,,,,,,,,,,,Ukraine,911,00:00:08.143,Carry,
,,,,,,,,,,,,,,,1.233539,,,,,,,,,,,,161fc410-f3d3-414b-a024-6b30e7254441,14,,"[48.9, 19.9]",3788746,0,,,,2.2005997,,Right Foot,,,,"[36.0, 37.6]",,Ground Pass,,21.902054,,,,Stefan de Vrij,7787.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,['d7c510da-7004-450a-af05-25263f5be248'],9,,,,,,,,,,,,,,Netherlands,941,00:00:09.011,Pass,
,,,"[41.9, 40.0]",,,,,,,,,,,,2.513671,,,,,,,,,,,,f06db080-9f62-41a0-b8c9-59a4dd9be47f,16,,"[36.0, 37.6]",3788746,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Center Back,2,Netherlands,941,"['38471cf7-8b95-442d-87fe-4f96b68082e2', 'd7c510da-7004-450a-af05-25263f5be248']",10,,,,,,,,,,,,,,Netherlands,941,00:00:10.244,Carry,
